Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,100nF,C49678
"Q1, Q2",SOT-23_Handsoldering,2,FDV301N,C15310
"R1, R2, R3, R4, R5",0805,5,1k,C2907232
R6,0805,1,100,C105577
SD1,CUI_MSD-1-A,1,MSD-1-A,C20619272
"U1, U2, U3",SOIC-20W_7.5x15.4mm_P1.27mm,3,74HCT245,C5979
