Designator,Footprint,Quantity,Value,LCSC Part #
"C-SD1, C23, C3-1, C3-2, C4, C5, C6, C7",0805,8,100nF,C49678
J1,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
"Q1, Q2",SOT-23_Handsoldering,2,FDV301N,C15310
"R1, R2, R3, R4, R5",0805,5,1k,C2907232
R6,0805,1,100,C105577
SD1,CUI_MSD-1-A,1,MSD-1-A,C20619272
U23,SOIC-14_3.9x8.7mm_P1.27mm,1,SN74LS32NSR,
U3,TSSOP-24_4.4x7.8mm_P0.65mm,1,SN74LVCC4245APWR,
"U4, U5, U6, U7",TSSOP-20_4.4x6.5mm_P0.65mm,4,SN74LVC245APWR,C6082
